path,width,height,format,isReadable,mipmapCount,runtimeMemoryBytes,fileBytes,maxTextureSize,textureCompression,crunched,alphaSource,sRGBTexture,wrapMode,filterMode
"Assets/BCaT_assets/HOMED/Recipe_Box_Rice.jpeg",2048,1024,"RGBA_DXT1_SRGB",False,1,2098128,1213608,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/BCaT_assets/LindaLeaks/Images/image03b.jpg",1495,1025,"R8G8B8_SRGB",False,1,10727601,248536,2048,Compressed,False,FromInput,True,"Clamp","Bilinear"
"Assets/BCaT_assets/LindaLeaks/Images/image05b.jpg",1492,1031,"R8G8B8_SRGB",False,1,10768740,301193,2048,Compressed,False,FromInput,True,"Clamp","Bilinear"
"Assets/BCaT_assets/LindaLeaks/Images/image07b.jpg",1503,1030,"R8G8B8_SRGB",False,1,10837606,257869,2048,Compressed,False,FromInput,True,"Clamp","Bilinear"
"Assets/BCaT_assets/LindaLeaks/Images/image22b.jpg",1744,1182,"R8G8B8_SRGB",False,1,14430832,356459,2048,Compressed,False,FromInput,True,"Clamp","Bilinear"
"Assets/BCaT_assets/LindaLeaks/Images/image26b.jpg",1711,1180,"R8G8B8_SRGB",False,1,14133836,354669,2048,Compressed,False,FromInput,True,"Clamp","Bilinear"
"Assets/BCaT_assets/LindaLeaks/Images/image58.jpg",1920,1284,"RGBA_DXT1_SRGB",False,1,2466256,323695,2048,Compressed,False,FromInput,True,"Clamp","Bilinear"
"Assets/BCaT_assets/LindaLeaks/Images/image66.jpg",424,640,"RGBA_DXT1_SRGB",False,1,272336,61100,2048,Compressed,False,FromInput,True,"Clamp","Bilinear"
"Assets/BCaT_assets/LindaLeaks/Images/image68.jpg",1180,1756,"RGBA_DXT1_SRGB",False,1,2073056,276410,2048,Compressed,False,FromInput,True,"Clamp","Bilinear"
"Assets/BCaT_assets/LindaLeaks/Images/image69.jpg",1753,1185,"R8G8B8_SRGB",False,1,14542111,272867,2048,Compressed,False,FromInput,True,"Clamp","Bilinear"
"Assets/BCaT_assets/LindaLeaks/Images/LL_CoopHousing_01.jpg",1495,1025,"R8G8B8_SRGB",False,1,10727601,257869,2048,Compressed,False,FromInput,True,"Clamp","Bilinear"
"Assets/BCaT_assets/LindaLeaks/Images/LL_CoopHousing_02.jpg",1492,1031,"R8G8B8_SRGB",False,1,10768740,321221,2048,Compressed,False,FromInput,True,"Clamp","Bilinear"
"Assets/BCaT_assets/LindaLeaks/Images/LL_CoopHousing_03.jpg",1503,1030,"R8G8B8_SRGB",False,1,10837606,273241,2048,Compressed,False,FromInput,True,"Clamp","Bilinear"
"Assets/BCaT_assets/LindaLeaks/Images/LL_CoopHousing_04.jpg",1744,1182,"R8G8B8_SRGB",False,1,14430832,369875,2048,Compressed,False,FromInput,True,"Clamp","Bilinear"
"Assets/BCaT_assets/LindaLeaks/Images/LL_CoopHousing_05.jpg",1711,1180,"R8G8B8_SRGB",False,1,14133836,367470,2048,Compressed,False,FromInput,True,"Clamp","Bilinear"
"Assets/BCaT_assets/LindaLeaks/Images/LL_CoopHousing_06.png",2048,1369,"R8G8B8_SRGB",False,1,19626960,10301780,2048,Compressed,False,FromInput,True,"Clamp","Bilinear"
"Assets/BCaT_assets/LindaLeaks/Images/LL_CoopHousing_07.jpeg",424,640,"RGBA_DXT1_SRGB",False,1,272336,92353,2048,Compressed,False,FromInput,True,"Clamp","Bilinear"
